Index;Reference;Index_paragraph;Token;Start_pos;ToposText_update
62;urn:cts:latinLit:phi0978.phi001:4.1.1;62;Attica;306;B-['place']
63;urn:cts:latinLit:phi0978.phi001:4.1.1;63;,;312;O
64;urn:cts:latinLit:phi0978.phi001:4.1.1;64;Boeotia;314;B-['place']
65;urn:cts:latinLit:phi0978.phi001:4.1.1;65;";";321;O
66;urn:cts:latinLit:phi0978.phi001:4.1.1;66;and;323;O
67;urn:cts:latinLit:phi0978.phi001:4.1.1;67;again;327;O
68;urn:cts:latinLit:phi0978.phi001:4.1.1;68;,;332;O
69;urn:cts:latinLit:phi0978.phi001:4.1.1;69;upon;334;O
70;urn:cts:latinLit:phi0978.phi001:4.1.1;70;the;339;O
71;urn:cts:latinLit:phi0978.phi001:4.1.1;71;other;343;O
72;urn:cts:latinLit:phi0978.phi001:4.1.1;72;sea;349;O
73;urn:cts:latinLit:phi0978.phi001:4.1.1;73;,;352;O
74;urn:cts:latinLit:phi0978.phi001:4.1.1;74;the;354;O
75;urn:cts:latinLit:phi0978.phi001:4.1.1;75;same;358;O
76;urn:cts:latinLit:phi0978.phi001:4.1.1;76;Phocis;363;B-['place']
77;urn:cts:latinLit:phi0978.phi001:4.1.1;77;and;370;O
78;urn:cts:latinLit:phi0978.phi001:4.1.1;78;Locris;374;B-['place']
79;urn:cts:latinLit:phi0978.phi001:4.1.1;79;,;380;O
80;urn:cts:latinLit:phi0978.phi001:4.1.1;80;Doris;382;B-['place']
81;urn:cts:latinLit:phi0978.phi001:4.1.1;81;,;387;O
82;urn:cts:latinLit:phi0978.phi001:4.1.1;82;Phthiotis;389;B-['place']
83;urn:cts:latinLit:phi0978.phi001:4.1.1;83;,;398;O
84;urn:cts:latinLit:phi0978.phi001:4.1.1;84;Thessalia;400;B-['place']
85;urn:cts:latinLit:phi0978.phi001:4.1.1;85;,;409;O
86;urn:cts:latinLit:phi0978.phi001:4.1.1;86;Magnesia;411;B-['place']
87;urn:cts:latinLit:phi0978.phi001:4.1.1;87;,;419;O
88;urn:cts:latinLit:phi0978.phi001:4.1.1;88;Macedonia;421;B-['place']
89;urn:cts:latinLit:phi0978.phi001:4.1.1;89;and;431;O
90;urn:cts:latinLit:phi0978.phi001:4.1.1;90;Thracia;435;B-LOC
91;urn:cts:latinLit:phi0978.phi001:4.1.1;91;.;442;O
92;urn:cts:latinLit:phi0978.phi001:4.1.1;92;All;444;O
93;urn:cts:latinLit:phi0978.phi001:4.1.1;93;the;448;O
94;urn:cts:latinLit:phi0978.phi001:4.1.1;94;fabulous;452;O
95;urn:cts:latinLit:phi0978.phi001:4.1.1;95;lore;461;O
96;urn:cts:latinLit:phi0978.phi001:4.1.1;96;of;466;O
97;urn:cts:latinLit:phi0978.phi001:4.1.1;97;Greece;469;B-LOC
98;urn:cts:latinLit:phi0978.phi001:4.1.1;98;,;475;O
99;urn:cts:latinLit:phi0978.phi001:4.1.1;99;as;477;O
100;urn:cts:latinLit:phi0978.phi001:4.1.1;100;well;480;O
101;urn:cts:latinLit:phi0978.phi001:4.1.1;101;as;485;O
102;urn:cts:latinLit:phi0978.phi001:4.1.1;102;the;488;O
103;urn:cts:latinLit:phi0978.phi001:4.1.1;103;effulgence;492;O
104;urn:cts:latinLit:phi0978.phi001:4.1.1;104;of;503;O
105;urn:cts:latinLit:phi0978.phi001:4.1.1;105;her;506;O
106;urn:cts:latinLit:phi0978.phi001:4.1.1;106;literature;510;O
107;urn:cts:latinLit:phi0978.phi001:4.1.1;107;,;520;O
108;urn:cts:latinLit:phi0978.phi001:4.1.1;108;first;522;O
109;urn:cts:latinLit:phi0978.phi001:4.1.1;109;shone;528;O
110;urn:cts:latinLit:phi0978.phi001:4.1.1;110;forth;534;O
111;urn:cts:latinLit:phi0978.phi001:4.1.1;111;upon;540;O
112;urn:cts:latinLit:phi0978.phi001:4.1.1;112;the;545;O
113;urn:cts:latinLit:phi0978.phi001:4.1.1;113;banks;549;O
114;urn:cts:latinLit:phi0978.phi001:4.1.1;114;of;555;O
115;urn:cts:latinLit:phi0978.phi001:4.1.1;115;this;558;O
116;urn:cts:latinLit:phi0978.phi001:4.1.1;116;Gulf;563;O
117;urn:cts:latinLit:phi0978.phi001:4.1.1;117;.;567;O
118;urn:cts:latinLit:phi0978.phi001:4.1.1;118;We;569;O
119;urn:cts:latinLit:phi0978.phi001:4.1.1;119;shall;572;O
120;urn:cts:latinLit:phi0978.phi001:4.1.1;120;therefore;578;O
121;urn:cts:latinLit:phi0978.phi001:4.1.1;121;dwell;588;O
122;urn:cts:latinLit:phi0978.phi001:4.1.1;122;a;594;O
123;urn:cts:latinLit:phi0978.phi001:4.1.1;123;little;596;O
124;urn:cts:latinLit:phi0978.phi001:4.1.1;124;the;603;O
125;urn:cts:latinLit:phi0978.phi001:4.1.1;125;longer;607;O
126;urn:cts:latinLit:phi0978.phi001:4.1.1;126;upon;614;O
127;urn:cts:latinLit:phi0978.phi001:4.1.1;127;it;619;O
128;urn:cts:latinLit:phi0978.phi001:4.1.1;128;.;621;O
129;urn:cts:latinLit:phi0978.phi001:4.1.2;0;§;0;O
130;urn:cts:latinLit:phi0978.phi001:4.1.2;1;4.1.2;2;O
131;urn:cts:latinLit:phi0978.phi001:4.1.2;2;Epirus;9;B-['place']
132;urn:cts:latinLit:phi0978.phi001:4.1.2;3;,;15;O
133;urn:cts:latinLit:phi0978.phi001:4.1.2;4;generally;17;O
134;urn:cts:latinLit:phi0978.phi001:4.1.2;5;so;27;O
135;urn:cts:latinLit:phi0978.phi001:4.1.2;6;called;30;O
136;urn:cts:latinLit:phi0978.phi001:4.1.2;7;,;36;O
137;urn:cts:latinLit:phi0978.phi001:4.1.2;8;begins;38;O
138;urn:cts:latinLit:phi0978.phi001:4.1.2;9;at;45;O
139;urn:cts:latinLit:phi0978.phi001:4.1.2;10;the;48;O
140;urn:cts:latinLit:phi0978.phi001:4.1.2;11;mountains;52;O
141;urn:cts:latinLit:phi0978.phi001:4.1.2;12;of;62;O
142;urn:cts:latinLit:phi0978.phi001:4.1.2;13;Acroceraunia;65;B-['place']
143;urn:cts:latinLit:phi0978.phi001:4.1.2;14;.;77;O
144;urn:cts:latinLit:phi0978.phi001:4.1.2;15;The;79;O
145;urn:cts:latinLit:phi0978.phi001:4.1.2;16;first;83;O
146;urn:cts:latinLit:phi0978.phi001:4.1.2;17;people;89;O
147;urn:cts:latinLit:phi0978.phi001:4.1.2;18;that;96;O
148;urn:cts:latinLit:phi0978.phi001:4.1.2;19;we;101;O
149;urn:cts:latinLit:phi0978.phi001:4.1.2;20;meet;104;O
150;urn:cts:latinLit:phi0978.phi001:4.1.2;21;are;109;O
151;urn:cts:latinLit:phi0978.phi001:4.1.2;22;the;113;O
152;urn:cts:latinLit:phi0978.phi001:4.1.2;23;Chaones;117;O
153;urn:cts:latinLit:phi0978.phi001:4.1.2;24;,;124;O
154;urn:cts:latinLit:phi0978.phi001:4.1.2;25;from;126;O
155;urn:cts:latinLit:phi0978.phi001:4.1.2;26;whom;131;O
156;urn:cts:latinLit:phi0978.phi001:4.1.2;27;Chaonia;136;B-['place']
157;urn:cts:latinLit:phi0978.phi001:4.1.2;28;receives;144;O
158;urn:cts:latinLit:phi0978.phi001:4.1.2;29;its;153;O
159;urn:cts:latinLit:phi0978.phi001:4.1.2;30;name;157;O
160;urn:cts:latinLit:phi0978.phi001:4.1.2;31;,;161;O
161;urn:cts:latinLit:phi0978.phi001:4.1.2;32;then;163;O
162;urn:cts:latinLit:phi0978.phi001:4.1.2;33;the;168;O
163;urn:cts:latinLit:phi0978.phi001:4.1.2;34;Thesproti;172;O
164;urn:cts:latinLit:phi0978.phi001:4.1.2;35;,;181;O
165;urn:cts:latinLit:phi0978.phi001:4.1.2;36;and;183;O
166;urn:cts:latinLit:phi0978.phi001:4.1.2;37;then;187;O
167;urn:cts:latinLit:phi0978.phi001:4.1.2;38;the;192;O
168;urn:cts:latinLit:phi0978.phi001:4.1.2;39;Antigonenses;196;O
169;urn:cts:latinLit:phi0978.phi001:4.1.2;40;.;208;O
170;urn:cts:latinLit:phi0978.phi001:4.1.2;41;We;210;O
171;urn:cts:latinLit:phi0978.phi001:4.1.2;42;then;213;O
172;urn:cts:latinLit:phi0978.phi001:4.1.2;43;come;218;O
173;urn:cts:latinLit:phi0978.phi001:4.1.2;44;to;223;O
174;urn:cts:latinLit:phi0978.phi001:4.1.2;45;the;226;O
175;urn:cts:latinLit:phi0978.phi001:4.1.2;46;place;230;O
176;urn:cts:latinLit:phi0978.phi001:4.1.2;47;where;236;O
177;urn:cts:latinLit:phi0978.phi001:4.1.2;48;Aornos;242;O
178;urn:cts:latinLit:phi0978.phi001:4.1.2;49;stood;249;O
179;urn:cts:latinLit:phi0978.phi001:4.1.2;50;,;254;O
180;urn:cts:latinLit:phi0978.phi001:4.1.2;51;with;256;O
181;urn:cts:latinLit:phi0978.phi001:4.1.2;52;its;261;O
182;urn:cts:latinLit:phi0978.phi001:4.1.2;53;exhalations;265;O
183;urn:cts:latinLit:phi0978.phi001:4.1.2;54;so;277;O
184;urn:cts:latinLit:phi0978.phi001:4.1.2;55;deadly;280;O
185;urn:cts:latinLit:phi0978.phi001:4.1.2;56;to;287;O
186;urn:cts:latinLit:phi0978.phi001:4.1.2;57;the;290;O
187;urn:cts:latinLit:phi0978.phi001:4.1.2;58;feathered;294;O
188;urn:cts:latinLit:phi0978.phi001:4.1.2;59;race;304;O
189;urn:cts:latinLit:phi0978.phi001:4.1.2;60;,;308;O
190;urn:cts:latinLit:phi0978.phi001:4.1.2;61;the;310;O
191;urn:cts:latinLit:phi0978.phi001:4.1.2;62;Cestrinis;314;O
192;urn:cts:latinLit:phi0978.phi001:4.1.2;63;,;323;O
193;urn:cts:latinLit:phi0978.phi001:4.1.2;64;the;325;O
194;urn:cts:latinLit:phi0978.phi001:4.1.2;65;Perrhaebi;329;O
195;urn:cts:latinLit:phi0978.phi001:4.1.2;66;,;338;O
196;urn:cts:latinLit:phi0978.phi001:4.1.2;67;in;340;O
197;urn:cts:latinLit:phi0978.phi001:4.1.2;68;whose;343;O
198;urn:cts:latinLit:phi0978.phi001:4.1.2;69;country;349;O
199;urn:cts:latinLit:phi0978.phi001:4.1.2;70;Mount;357;O
200;urn:cts:latinLit:phi0978.phi001:4.1.2;71;Pindus;363;B-['place']
201;urn:cts:latinLit:phi0978.phi001:4.1.2;72;is;370;O
202;urn:cts:latinLit:phi0978.phi001:4.1.2;73;situate;373;O
203;urn:cts:latinLit:phi0978.phi001:4.1.2;74;,;380;O
204;urn:cts:latinLit:phi0978.phi001:4.1.2;75;the;382;O
205;urn:cts:latinLit:phi0978.phi001:4.1.2;76;Cassiopaei;386;O
206;urn:cts:latinLit:phi0978.phi001:4.1.2;77;,;396;O
207;urn:cts:latinLit:phi0978.phi001:4.1.2;78;the;398;O
208;urn:cts:latinLit:phi0978.phi001:4.1.2;79;Dryopes;402;O
209;urn:cts:latinLit:phi0978.phi001:4.1.2;80;,;409;O
210;urn:cts:latinLit:phi0978.phi001:4.1.2;81;the;411;O
211;urn:cts:latinLit:phi0978.phi001:4.1.2;82;Sellae;415;O
212;urn:cts:latinLit:phi0978.phi001:4.1.2;83;,;421;O
213;urn:cts:latinLit:phi0978.phi001:4.1.2;84;the;423;O
214;urn:cts:latinLit:phi0978.phi001:4.1.2;85;Hellopes;427;O
215;urn:cts:latinLit:phi0978.phi001:4.1.2;86;,;435;O
216;urn:cts:latinLit:phi0978.phi001:4.1.2;87;the;437;O
217;urn:cts:latinLit:phi0978.phi001:4.1.2;88;Molossi;441;O
218;urn:cts:latinLit:phi0978.phi001:4.1.2;89;,;448;O
219;urn:cts:latinLit:phi0978.phi001:4.1.2;90;in;450;O
220;urn:cts:latinLit:phi0978.phi001:4.1.2;91;whose;453;O
221;urn:cts:latinLit:phi0978.phi001:4.1.2;92;territory;459;O
222;urn:cts:latinLit:phi0978.phi001:4.1.2;93;is;469;O
223;urn:cts:latinLit:phi0978.phi001:4.1.2;94;the;472;O
224;urn:cts:latinLit:phi0978.phi001:4.1.2;95;temple;476;O
225;urn:cts:latinLit:phi0978.phi001:4.1.2;96;of;483;O
226;urn:cts:latinLit:phi0978.phi001:4.1.2;97;the;486;O
227;urn:cts:latinLit:phi0978.phi001:4.1.2;98;Dodonaean;490;O
228;urn:cts:latinLit:phi0978.phi001:4.1.2;99;Jupiter;500;O
229;urn:cts:latinLit:phi0978.phi001:4.1.2;100;,;507;O
230;urn:cts:latinLit:phi0978.phi001:4.1.2;101;so;509;O
231;urn:cts:latinLit:phi0978.phi001:4.1.2;102;famous;512;O
232;urn:cts:latinLit:phi0978.phi001:4.1.2;103;for;519;O
233;urn:cts:latinLit:phi0978.phi001:4.1.2;104;its;523;O
234;urn:cts:latinLit:phi0978.phi001:4.1.2;105;oracle;527;O
235;urn:cts:latinLit:phi0978.phi001:4.1.2;106;";";533;O
236;urn:cts:latinLit:phi0978.phi001:4.1.2;107;and;535;O
237;urn:cts:latinLit:phi0978.phi001:4.1.2;108;Mount;539;O
238;urn:cts:latinLit:phi0978.phi001:4.1.2;109;Tomarus;545;B-['place']
239;urn:cts:latinLit:phi0978.phi001:4.1.2;110;,;552;O
240;urn:cts:latinLit:phi0978.phi001:4.1.2;111;so;554;O
241;urn:cts:latinLit:phi0978.phi001:4.1.2;112;highly;557;O
242;urn:cts:latinLit:phi0978.phi001:4.1.2;113;praised;564;O
243;urn:cts:latinLit:phi0978.phi001:4.1.2;114;by;572;O
244;urn:cts:latinLit:phi0978.phi001:4.1.2;115;Theopompus;575;O
245;urn:cts:latinLit:phi0978.phi001:4.1.2;116;,;585;O
246;urn:cts:latinLit:phi0978.phi001:4.1.2;117;with;587;O
247;urn:cts:latinLit:phi0978.phi001:4.1.2;118;its;592;O
248;urn:cts:latinLit:phi0978.phi001:4.1.2;119;hundred;596;O
249;urn:cts:latinLit:phi0978.phi001:4.1.2;120;springs;604;O
250;urn:cts:latinLit:phi0978.phi001:4.1.2;121;gushing;612;O
251;urn:cts:latinLit:phi0978.phi001:4.1.2;122;from;620;O
252;urn:cts:latinLit:phi0978.phi001:4.1.2;123;its;625;O
253;urn:cts:latinLit:phi0978.phi001:4.1.2;124;foot;629;O
254;urn:cts:latinLit:phi0978.phi001:4.1.2;125;.;633;O
255;urn:cts:latinLit:phi0978.phi001:4.1.3;0;§;0;O
256;urn:cts:latinLit:phi0978.phi001:4.1.3;1;4.1.3;2;O
257;urn:cts:latinLit:phi0978.phi001:4.1.3;2;Epirus;9;B-['place']
258;urn:cts:latinLit:phi0978.phi001:4.1.3;3;,;15;O
259;urn:cts:latinLit:phi0978.phi001:4.1.3;4;properly;17;O
260;urn:cts:latinLit:phi0978.phi001:4.1.3;5;so;26;O
261;urn:cts:latinLit:phi0978.phi001:4.1.3;6;called;29;O
262;urn:cts:latinLit:phi0978.phi001:4.1.3;7;,;35;O
263;urn:cts:latinLit:phi0978.phi001:4.1.3;8;advances;37;O
264;urn:cts:latinLit:phi0978.phi001:4.1.3;9;towards;46;O
265;urn:cts:latinLit:phi0978.phi001:4.1.3;10;Magnesia;54;B-['place']
266;urn:cts:latinLit:phi0978.phi001:4.1.3;11;and;63;O
267;urn:cts:latinLit:phi0978.phi001:4.1.3;12;Macedonia;67;B-['place']
268;urn:cts:latinLit:phi0978.phi001:4.1.3;13;,;76;O
269;urn:cts:latinLit:phi0978.phi001:4.1.3;14;having;78;O
270;urn:cts:latinLit:phi0978.phi001:4.1.3;15;at;85;O
271;urn:cts:latinLit:phi0978.phi001:4.1.3;16;its;88;O
272;urn:cts:latinLit:phi0978.phi001:4.1.3;17;back;92;O
273;urn:cts:latinLit:phi0978.phi001:4.1.3;18;the;97;O
274;urn:cts:latinLit:phi0978.phi001:4.1.3;19;Dassaretae;101;B-['place']
275;urn:cts:latinLit:phi0978.phi001:4.1.3;20;,;111;O
276;urn:cts:latinLit:phi0978.phi001:4.1.3;21;previously;113;O
277;urn:cts:latinLit:phi0978.phi001:4.1.3;22;mentioned;124;O
278;urn:cts:latinLit:phi0978.phi001:4.1.3;23;,;133;O
279;urn:cts:latinLit:phi0978.phi001:4.1.3;24;a;135;O
280;urn:cts:latinLit:phi0978.phi001:4.1.3;25;free;137;O
281;urn:cts:latinLit:phi0978.phi001:4.1.3;26;nation;142;O
282;urn:cts:latinLit:phi0978.phi001:4.1.3;27;,;148;O
283;urn:cts:latinLit:phi0978.phi001:4.1.3;28;and;150;O
284;urn:cts:latinLit:phi0978.phi001:4.1.3;29;after;154;O
285;urn:cts:latinLit:phi0978.phi001:4.1.3;30;them;160;O
286;urn:cts:latinLit:phi0978.phi001:4.1.3;31;the;165;O
287;urn:cts:latinLit:phi0978.phi001:4.1.3;32;Dardani;169;O
288;urn:cts:latinLit:phi0978.phi001:4.1.3;33;,;176;O
289;urn:cts:latinLit:phi0978.phi001:4.1.3;34;a;178;O
290;urn:cts:latinLit:phi0978.phi001:4.1.3;35;savage;180;O
291;urn:cts:latinLit:phi0978.phi001:4.1.3;36;race;187;O
292;urn:cts:latinLit:phi0978.phi001:4.1.3;37;.;191;O
293;urn:cts:latinLit:phi0978.phi001:4.1.3;38;On;193;O
294;urn:cts:latinLit:phi0978.phi001:4.1.3;39;the;196;O
295;urn:cts:latinLit:phi0978.phi001:4.1.3;40;left;200;O
296;urn:cts:latinLit:phi0978.phi001:4.1.3;41;hand;205;O
297;urn:cts:latinLit:phi0978.phi001:4.1.3;42;,;209;O
298;urn:cts:latinLit:phi0978.phi001:4.1.3;43;before;211;O
299;urn:cts:latinLit:phi0978.phi001:4.1.3;44;the;218;O
300;urn:cts:latinLit:phi0978.phi001:4.1.3;45;Dardani;222;O
301;urn:cts:latinLit:phi0978.phi001:4.1.3;46;are;230;O
302;urn:cts:latinLit:phi0978.phi001:4.1.3;47;extended;234;O
303;urn:cts:latinLit:phi0978.phi001:4.1.3;48;the;243;O
304;urn:cts:latinLit:phi0978.phi001:4.1.3;49;Triballi;247;O
305;urn:cts:latinLit:phi0978.phi001:4.1.3;50;and;256;O
306;urn:cts:latinLit:phi0978.phi001:4.1.3;51;the;260;O
307;urn:cts:latinLit:phi0978.phi001:4.1.3;52;nations;264;O
308;urn:cts:latinLit:phi0978.phi001:4.1.3;53;of;272;O
309;urn:cts:latinLit:phi0978.phi001:4.1.3;54;Moesia;275;B-['place']
310;urn:cts:latinLit:phi0978.phi001:4.1.3;55;,;281;O
311;urn:cts:latinLit:phi0978.phi001:4.1.3;56;while;283;O
312;urn:cts:latinLit:phi0978.phi001:4.1.3;57;in;289;O
313;urn:cts:latinLit:phi0978.phi001:4.1.3;58;front;292;O
314;urn:cts:latinLit:phi0978.phi001:4.1.3;59;of;298;O
315;urn:cts:latinLit:phi0978.phi001:4.1.3;60;them;301;O
316;urn:cts:latinLit:phi0978.phi001:4.1.3;61;the;306;O
317;urn:cts:latinLit:phi0978.phi001:4.1.3;62;Medi;310;O
318;urn:cts:latinLit:phi0978.phi001:4.1.3;63;and;315;O
319;urn:cts:latinLit:phi0978.phi001:4.1.3;64;the;319;O
320;urn:cts:latinLit:phi0978.phi001:4.1.3;65;Denselatae;323;O
321;urn:cts:latinLit:phi0978.phi001:4.1.3;66;join;334;O
322;urn:cts:latinLit:phi0978.phi001:4.1.3;67;,;338;O
323;urn:cts:latinLit:phi0978.phi001:4.1.3;68;and;340;O
324;urn:cts:latinLit:phi0978.phi001:4.1.3;69;next;344;O
325;urn:cts:latinLit:phi0978.phi001:4.1.3;70;to;349;O
326;urn:cts:latinLit:phi0978.phi001:4.1.3;71;them;352;O
327;urn:cts:latinLit:phi0978.phi001:4.1.3;72;the;357;O
328;urn:cts:latinLit:phi0978.phi001:4.1.3;73;Thracians;361;O
329;urn:cts:latinLit:phi0978.phi001:4.1.3;74;,;370;O
330;urn:cts:latinLit:phi0978.phi001:4.1.3;75;who;372;O
331;urn:cts:latinLit:phi0978.phi001:4.1.3;76;stretch;376;O
332;urn:cts:latinLit:phi0978.phi001:4.1.3;77;away;384;O
333;urn:cts:latinLit:phi0978.phi001:4.1.3;78;as;389;O
334;urn:cts:latinLit:phi0978.phi001:4.1.3;79;far;392;O
335;urn:cts:latinLit:phi0978.phi001:4.1.3;80;as;396;O
336;urn:cts:latinLit:phi0978.phi001:4.1.3;81;the;399;O
337;urn:cts:latinLit:phi0978.phi001:4.1.3;82;Euxine;403;B-['place']
338;urn:cts:latinLit:phi0978.phi001:4.1.3;83;:;409;O
339;urn:cts:latinLit:phi0978.phi001:4.1.3;84;in;411;O
340;urn:cts:latinLit:phi0978.phi001:4.1.3;85;such;414;O
341;urn:cts:latinLit:phi0978.phi001:4.1.3;86;a;419;O
342;urn:cts:latinLit:phi0978.phi001:4.1.3;87;manner;421;O
343;urn:cts:latinLit:phi0978.phi001:4.1.3;88;is;428;O
344;urn:cts:latinLit:phi0978.phi001:4.1.3;89;a;431;O
345;urn:cts:latinLit:phi0978.phi001:4.1.3;90;rampart;433;O
346;urn:cts:latinLit:phi0978.phi001:4.1.3;91;raised;441;O
347;urn:cts:latinLit:phi0978.phi001:4.1.3;92;around;448;O
348;urn:cts:latinLit:phi0978.phi001:4.1.3;93;the;455;O
349;urn:cts:latinLit:phi0978.phi001:4.1.3;94;lofty;459;O
350;urn:cts:latinLit:phi0978.phi001:4.1.3;95;heights;465;O
351;urn:cts:latinLit:phi0978.phi001:4.1.3;96;of;473;O
352;urn:cts:latinLit:phi0978.phi001:4.1.3;97;Rhodope;476;B-['place']
353;urn:cts:latinLit:phi0978.phi001:4.1.3;98;,;483;O
354;urn:cts:latinLit:phi0978.phi001:4.1.3;99;and;485;O
355;urn:cts:latinLit:phi0978.phi001:4.1.3;100;then;489;O
356;urn:cts:latinLit:phi0978.phi001:4.1.3;101;of;494;O
357;urn:cts:latinLit:phi0978.phi001:4.1.3;102;Haemus;497;B-['place']
358;urn:cts:latinLit:phi0978.phi001:4.1.3;103;.;503;O
359;urn:cts:latinLit:phi0978.phi001:4.1.4;0;§;0;O
360;urn:cts:latinLit:phi0978.phi001:4.1.4;1;4.1.4;2;O
361;urn:cts:latinLit:phi0978.phi001:4.1.4;2;On;9;O
362;urn:cts:latinLit:phi0978.phi001:4.1.4;3;the;12;O
363;urn:cts:latinLit:phi0978.phi001:4.1.4;4;coast;16;O
364;urn:cts:latinLit:phi0978.phi001:4.1.4;5;of;22;O
365;urn:cts:latinLit:phi0978.phi001:4.1.4;6;Epirus;25;B-['place']
366;urn:cts:latinLit:phi0978.phi001:4.1.4;7;is;32;O
367;urn:cts:latinLit:phi0978.phi001:4.1.4;8;the;35;O
368;urn:cts:latinLit:phi0978.phi001:4.1.4;9;fortress;39;O
369;urn:cts:latinLit:phi0978.phi001:4.1.4;10;of;48;O
370;urn:cts:latinLit:phi0978.phi001:4.1.4;11;Chimaer;51;B-['place']
371;urn:cts:latinLit:phi0978.phi001:4.1.4;12;,;58;O
372;urn:cts:latinLit:phi0978.phi001:4.1.4;13;situate;60;O
