Index,Reference,Index_paragraph,Token,Start_pos,ToposText,flair_nerlarge,ToposText_update,Sentence,Token_ID
14,urn:cts:latinLit:phi0978.phi001:4.1.1,14,of,72,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.72
15,urn:cts:latinLit:phi0978.phi001:4.1.1,15,Acroceraunia,75,B-['place'],B-LOC,B-['place'],0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.75
16,urn:cts:latinLit:phi0978.phi001:4.1.1,16,",",87,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.87
17,urn:cts:latinLit:phi0978.phi001:4.1.1,17,and,89,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.89
18,urn:cts:latinLit:phi0978.phi001:4.1.1,18,ends,93,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.93
19,urn:cts:latinLit:phi0978.phi001:4.1.1,19,at,98,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.98
20,urn:cts:latinLit:phi0978.phi001:4.1.1,20,the,101,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.101
21,urn:cts:latinLit:phi0978.phi001:4.1.1,21,Hellespont,105,B-['place'],B-LOC,B-['place'],0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.105
22,urn:cts:latinLit:phi0978.phi001:4.1.1,22,",",115,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.115
23,urn:cts:latinLit:phi0978.phi001:4.1.1,23,embracing,117,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.117
24,urn:cts:latinLit:phi0978.phi001:4.1.1,24,an,127,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.127
25,urn:cts:latinLit:phi0978.phi001:4.1.1,25,extent,130,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.130
26,urn:cts:latinLit:phi0978.phi001:4.1.1,26,of,137,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.137
27,urn:cts:latinLit:phi0978.phi001:4.1.1,27,2500,140,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.140
28,urn:cts:latinLit:phi0978.phi001:4.1.1,28,miles,145,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.145
29,urn:cts:latinLit:phi0978.phi001:4.1.1,29,",",150,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.150
30,urn:cts:latinLit:phi0978.phi001:4.1.1,30,exclusive,152,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.152
31,urn:cts:latinLit:phi0978.phi001:4.1.1,31,of,162,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.162
32,urn:cts:latinLit:phi0978.phi001:4.1.1,32,the,165,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.165
33,urn:cts:latinLit:phi0978.phi001:4.1.1,33,sea-line,169,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.169
34,urn:cts:latinLit:phi0978.phi001:4.1.1,34,of,178,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.178
35,urn:cts:latinLit:phi0978.phi001:4.1.1,35,nineteen,181,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.181
36,urn:cts:latinLit:phi0978.phi001:4.1.1,36,smaller,190,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.190
37,urn:cts:latinLit:phi0978.phi001:4.1.1,37,gulfs,198,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.198
38,urn:cts:latinLit:phi0978.phi001:4.1.1,38,.,203,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.203
39,urn:cts:latinLit:phi0978.phi001:4.1.1,39,Upon,205,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.205
40,urn:cts:latinLit:phi0978.phi001:4.1.1,40,it,210,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.210
41,urn:cts:latinLit:phi0978.phi001:4.1.1,41,are,213,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.213
42,urn:cts:latinLit:phi0978.phi001:4.1.1,42,Epirus,217,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.217
43,urn:cts:latinLit:phi0978.phi001:4.1.1,43,",",223,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.223
44,urn:cts:latinLit:phi0978.phi001:4.1.1,44,Acarnania,225,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.225
45,urn:cts:latinLit:phi0978.phi001:4.1.1,45,",",234,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.234
46,urn:cts:latinLit:phi0978.phi001:4.1.1,46,Aitolia,236,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.236
47,urn:cts:latinLit:phi0978.phi001:4.1.1,47,",",243,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.243
48,urn:cts:latinLit:phi0978.phi001:4.1.1,48,Phocis,245,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.245
49,urn:cts:latinLit:phi0978.phi001:4.1.1,49,",",251,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.251
50,urn:cts:latinLit:phi0978.phi001:4.1.1,50,Locris,253,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.253
51,urn:cts:latinLit:phi0978.phi001:4.1.1,51,",",259,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.259
52,urn:cts:latinLit:phi0978.phi001:4.1.1,52,Achaia,261,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.261
53,urn:cts:latinLit:phi0978.phi001:4.1.1,53,",",267,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.267
54,urn:cts:latinLit:phi0978.phi001:4.1.1,54,Messenia,269,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.269
55,urn:cts:latinLit:phi0978.phi001:4.1.1,55,",",277,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.277
56,urn:cts:latinLit:phi0978.phi001:4.1.1,56,Laconia,279,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.279
57,urn:cts:latinLit:phi0978.phi001:4.1.1,57,",",286,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.286
58,urn:cts:latinLit:phi0978.phi001:4.1.1,58,Argolis,288,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.288
59,urn:cts:latinLit:phi0978.phi001:4.1.1,59,",",295,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.295
60,urn:cts:latinLit:phi0978.phi001:4.1.1,60,Megaris,297,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.297
61,urn:cts:latinLit:phi0978.phi001:4.1.1,61,",",304,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.304
62,urn:cts:latinLit:phi0978.phi001:4.1.1,62,Attica,306,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.306
63,urn:cts:latinLit:phi0978.phi001:4.1.1,63,",",312,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.312
64,urn:cts:latinLit:phi0978.phi001:4.1.1,64,Boeotia,314,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.314
65,urn:cts:latinLit:phi0978.phi001:4.1.1,65,;,321,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.321
66,urn:cts:latinLit:phi0978.phi001:4.1.1,66,and,323,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.323
67,urn:cts:latinLit:phi0978.phi001:4.1.1,67,again,327,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.327
68,urn:cts:latinLit:phi0978.phi001:4.1.1,68,",",332,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.332
69,urn:cts:latinLit:phi0978.phi001:4.1.1,69,upon,334,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.334
70,urn:cts:latinLit:phi0978.phi001:4.1.1,70,the,339,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.339
71,urn:cts:latinLit:phi0978.phi001:4.1.1,71,other,343,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.343
72,urn:cts:latinLit:phi0978.phi001:4.1.1,72,sea,349,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.349
73,urn:cts:latinLit:phi0978.phi001:4.1.1,73,",",352,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.352
74,urn:cts:latinLit:phi0978.phi001:4.1.1,74,the,354,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.354
75,urn:cts:latinLit:phi0978.phi001:4.1.1,75,same,358,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.358
76,urn:cts:latinLit:phi0978.phi001:4.1.1,76,Phocis,363,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.363
77,urn:cts:latinLit:phi0978.phi001:4.1.1,77,and,370,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.370
78,urn:cts:latinLit:phi0978.phi001:4.1.1,78,Locris,374,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.374
79,urn:cts:latinLit:phi0978.phi001:4.1.1,79,",",380,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.380
80,urn:cts:latinLit:phi0978.phi001:4.1.1,80,Doris,382,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.382
81,urn:cts:latinLit:phi0978.phi001:4.1.1,81,",",387,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.387
82,urn:cts:latinLit:phi0978.phi001:4.1.1,82,Phthiotis,389,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.389
83,urn:cts:latinLit:phi0978.phi001:4.1.1,83,",",398,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.398
84,urn:cts:latinLit:phi0978.phi001:4.1.1,84,Thessalia,400,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.400
85,urn:cts:latinLit:phi0978.phi001:4.1.1,85,",",409,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.409
86,urn:cts:latinLit:phi0978.phi001:4.1.1,86,Magnesia,411,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.411
87,urn:cts:latinLit:phi0978.phi001:4.1.1,87,",",419,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.419
88,urn:cts:latinLit:phi0978.phi001:4.1.1,88,Macedonia,421,B-['place'],B-LOC,B-['place'],1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.421
89,urn:cts:latinLit:phi0978.phi001:4.1.1,89,and,431,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.431
90,urn:cts:latinLit:phi0978.phi001:4.1.1,90,Thracia,435,O,B-LOC,B-LOC,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.435
91,urn:cts:latinLit:phi0978.phi001:4.1.1,91,.,442,O,O,O,1,urn:cts:latinLit:phi0978.phi001:4.1.1.1.442
92,urn:cts:latinLit:phi0978.phi001:4.1.1,92,All,444,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.444
93,urn:cts:latinLit:phi0978.phi001:4.1.1,93,the,448,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.448
94,urn:cts:latinLit:phi0978.phi001:4.1.1,94,fabulous,452,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.452
95,urn:cts:latinLit:phi0978.phi001:4.1.1,95,lore,461,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.461
96,urn:cts:latinLit:phi0978.phi001:4.1.1,96,of,466,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.466
97,urn:cts:latinLit:phi0978.phi001:4.1.1,97,Greece,469,O,B-LOC,B-LOC,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.469
98,urn:cts:latinLit:phi0978.phi001:4.1.1,98,",",475,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.475
99,urn:cts:latinLit:phi0978.phi001:4.1.1,99,as,477,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.477
100,urn:cts:latinLit:phi0978.phi001:4.1.1,100,well,480,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.480
101,urn:cts:latinLit:phi0978.phi001:4.1.1,101,as,485,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.485
102,urn:cts:latinLit:phi0978.phi001:4.1.1,102,the,488,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.488
103,urn:cts:latinLit:phi0978.phi001:4.1.1,103,effulgence,492,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.492
104,urn:cts:latinLit:phi0978.phi001:4.1.1,104,of,503,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.503
105,urn:cts:latinLit:phi0978.phi001:4.1.1,105,her,506,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.506
106,urn:cts:latinLit:phi0978.phi001:4.1.1,106,literature,510,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.510
107,urn:cts:latinLit:phi0978.phi001:4.1.1,107,",",520,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.520
108,urn:cts:latinLit:phi0978.phi001:4.1.1,108,first,522,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.522
109,urn:cts:latinLit:phi0978.phi001:4.1.1,109,shone,528,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.528
110,urn:cts:latinLit:phi0978.phi001:4.1.1,110,forth,534,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.534
111,urn:cts:latinLit:phi0978.phi001:4.1.1,111,upon,540,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.540
112,urn:cts:latinLit:phi0978.phi001:4.1.1,112,the,545,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.545
113,urn:cts:latinLit:phi0978.phi001:4.1.1,113,banks,549,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.549
114,urn:cts:latinLit:phi0978.phi001:4.1.1,114,of,555,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.555
115,urn:cts:latinLit:phi0978.phi001:4.1.1,115,this,558,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.558
116,urn:cts:latinLit:phi0978.phi001:4.1.1,116,Gulf,563,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.563
117,urn:cts:latinLit:phi0978.phi001:4.1.1,117,.,567,O,O,O,2,urn:cts:latinLit:phi0978.phi001:4.1.1.2.567
118,urn:cts:latinLit:phi0978.phi001:4.1.1,118,We,569,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.569
119,urn:cts:latinLit:phi0978.phi001:4.1.1,119,shall,572,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.572
120,urn:cts:latinLit:phi0978.phi001:4.1.1,120,therefore,578,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.578
121,urn:cts:latinLit:phi0978.phi001:4.1.1,121,dwell,588,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.588
122,urn:cts:latinLit:phi0978.phi001:4.1.1,122,a,594,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.594
123,urn:cts:latinLit:phi0978.phi001:4.1.1,123,little,596,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.596
124,urn:cts:latinLit:phi0978.phi001:4.1.1,124,the,603,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.603
125,urn:cts:latinLit:phi0978.phi001:4.1.1,125,longer,607,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.607
126,urn:cts:latinLit:phi0978.phi001:4.1.1,126,upon,614,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.614
127,urn:cts:latinLit:phi0978.phi001:4.1.1,127,it,619,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.619
128,urn:cts:latinLit:phi0978.phi001:4.1.1,128,.,621,O,O,O,3,urn:cts:latinLit:phi0978.phi001:4.1.1.3.621
129,urn:cts:latinLit:phi0978.phi001:4.1.2,0,§,0,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.0
130,urn:cts:latinLit:phi0978.phi001:4.1.2,1,4.1.2,2,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.2
131,urn:cts:latinLit:phi0978.phi001:4.1.2,2,Epirus,9,B-['place'],B-LOC,B-['place'],4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.9
132,urn:cts:latinLit:phi0978.phi001:4.1.2,3,",",15,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.15
133,urn:cts:latinLit:phi0978.phi001:4.1.2,4,generally,17,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.17
134,urn:cts:latinLit:phi0978.phi001:4.1.2,5,so,27,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.27
135,urn:cts:latinLit:phi0978.phi001:4.1.2,6,called,30,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.30
136,urn:cts:latinLit:phi0978.phi001:4.1.2,7,",",36,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.36
137,urn:cts:latinLit:phi0978.phi001:4.1.2,8,begins,38,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.38
138,urn:cts:latinLit:phi0978.phi001:4.1.2,9,at,45,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.45
139,urn:cts:latinLit:phi0978.phi001:4.1.2,10,the,48,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.48
140,urn:cts:latinLit:phi0978.phi001:4.1.2,11,mountains,52,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.52
141,urn:cts:latinLit:phi0978.phi001:4.1.2,12,of,62,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.62
142,urn:cts:latinLit:phi0978.phi001:4.1.2,13,Acroceraunia,65,B-['place'],B-LOC,B-['place'],4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.65
143,urn:cts:latinLit:phi0978.phi001:4.1.2,14,.,77,O,O,O,4,urn:cts:latinLit:phi0978.phi001:4.1.2.4.77
144,urn:cts:latinLit:phi0978.phi001:4.1.2,15,The,79,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.79
145,urn:cts:latinLit:phi0978.phi001:4.1.2,16,first,83,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.83
146,urn:cts:latinLit:phi0978.phi001:4.1.2,17,people,89,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.89
147,urn:cts:latinLit:phi0978.phi001:4.1.2,18,that,96,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.96
148,urn:cts:latinLit:phi0978.phi001:4.1.2,19,we,101,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.101
149,urn:cts:latinLit:phi0978.phi001:4.1.2,20,meet,104,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.104
150,urn:cts:latinLit:phi0978.phi001:4.1.2,21,are,109,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.109
151,urn:cts:latinLit:phi0978.phi001:4.1.2,22,the,113,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.113
152,urn:cts:latinLit:phi0978.phi001:4.1.2,23,Chaones,117,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.117
153,urn:cts:latinLit:phi0978.phi001:4.1.2,24,",",124,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.124
154,urn:cts:latinLit:phi0978.phi001:4.1.2,25,from,126,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.126
155,urn:cts:latinLit:phi0978.phi001:4.1.2,26,whom,131,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.131
156,urn:cts:latinLit:phi0978.phi001:4.1.2,27,Chaonia,136,B-['place'],B-LOC,B-['place'],5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.136
157,urn:cts:latinLit:phi0978.phi001:4.1.2,28,receives,144,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.144
158,urn:cts:latinLit:phi0978.phi001:4.1.2,29,its,153,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.153
159,urn:cts:latinLit:phi0978.phi001:4.1.2,30,name,157,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.157
160,urn:cts:latinLit:phi0978.phi001:4.1.2,31,",",161,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.161
161,urn:cts:latinLit:phi0978.phi001:4.1.2,32,then,163,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.163
162,urn:cts:latinLit:phi0978.phi001:4.1.2,33,the,168,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.168
163,urn:cts:latinLit:phi0978.phi001:4.1.2,34,Thesproti,172,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.172
164,urn:cts:latinLit:phi0978.phi001:4.1.2,35,",",181,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.181
165,urn:cts:latinLit:phi0978.phi001:4.1.2,36,and,183,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.183
166,urn:cts:latinLit:phi0978.phi001:4.1.2,37,then,187,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.187
167,urn:cts:latinLit:phi0978.phi001:4.1.2,38,the,192,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.192
168,urn:cts:latinLit:phi0978.phi001:4.1.2,39,Antigonenses,196,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.196
169,urn:cts:latinLit:phi0978.phi001:4.1.2,40,.,208,O,O,O,5,urn:cts:latinLit:phi0978.phi001:4.1.2.5.208
170,urn:cts:latinLit:phi0978.phi001:4.1.2,41,We,210,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.210
171,urn:cts:latinLit:phi0978.phi001:4.1.2,42,then,213,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.213
172,urn:cts:latinLit:phi0978.phi001:4.1.2,43,come,218,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.218
173,urn:cts:latinLit:phi0978.phi001:4.1.2,44,to,223,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.223
174,urn:cts:latinLit:phi0978.phi001:4.1.2,45,the,226,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.226
175,urn:cts:latinLit:phi0978.phi001:4.1.2,46,place,230,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.230
176,urn:cts:latinLit:phi0978.phi001:4.1.2,47,where,236,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.236
177,urn:cts:latinLit:phi0978.phi001:4.1.2,48,Aornos,242,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.242
178,urn:cts:latinLit:phi0978.phi001:4.1.2,49,stood,249,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.249
179,urn:cts:latinLit:phi0978.phi001:4.1.2,50,",",254,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.254
180,urn:cts:latinLit:phi0978.phi001:4.1.2,51,with,256,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.256
181,urn:cts:latinLit:phi0978.phi001:4.1.2,52,its,261,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.261
182,urn:cts:latinLit:phi0978.phi001:4.1.2,53,exhalations,265,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.265
183,urn:cts:latinLit:phi0978.phi001:4.1.2,54,so,277,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.277
184,urn:cts:latinLit:phi0978.phi001:4.1.2,55,deadly,280,O,O,O,6,urn:cts:latinLit:phi0978.phi001:4.1.2.6.280
