,Reference,Index,Token,Start_pos,BIO_Flair,Precision_Flair,BIO_Flair-large,Precision_Flair-large,BIO_Flair_Splitter,Precision_Flair_Splitter,BIO_spaCy-md,BIO_spaCy-trf
44,urn:cts:latinLit:phi0978.phi001:4.1.1,44,Acarnania,225,B-MISC,0.6499003171920776,B-LOC,0.9999315738677979,B-LOC,0.9999315738677979,B-GPE,B-GPE
45,urn:cts:latinLit:phi0978.phi001:4.1.1,45,",",234,O,-,O,-,O,-,O,O
46,urn:cts:latinLit:phi0978.phi001:4.1.1,46,Aitolia,236,B-MISC,0.9613489508628845,B-LOC,0.9999551773071289,B-LOC,0.9999551773071289,B-GPE,B-GPE
47,urn:cts:latinLit:phi0978.phi001:4.1.1,47,",",243,O,-,O,-,O,-,O,O
48,urn:cts:latinLit:phi0978.phi001:4.1.1,48,Phocis,245,B-MISC,0.8852894306182861,B-LOC,0.9998325109481812,B-LOC,0.9998325109481812,B-GPE,B-GPE
49,urn:cts:latinLit:phi0978.phi001:4.1.1,49,",",251,O,-,O,-,O,-,O,O
50,urn:cts:latinLit:phi0978.phi001:4.1.1,50,Locris,253,B-MISC,0.9811883568763733,B-LOC,0.9998288154602051,B-LOC,0.9998288154602051,B-GPE,B-GPE
51,urn:cts:latinLit:phi0978.phi001:4.1.1,51,",",259,O,-,O,-,O,-,O,O
52,urn:cts:latinLit:phi0978.phi001:4.1.1,52,Achaia,261,B-MISC,0.978082537651062,B-LOC,0.9999520778656006,B-LOC,0.9999520778656006,B-GPE,B-GPE
53,urn:cts:latinLit:phi0978.phi001:4.1.1,53,",",267,O,-,O,-,O,-,O,O
54,urn:cts:latinLit:phi0978.phi001:4.1.1,54,Messenia,269,B-MISC,0.6388578414916992,B-LOC,0.9998904466629028,B-LOC,0.9998904466629028,B-GPE,B-GPE
55,urn:cts:latinLit:phi0978.phi001:4.1.1,55,",",277,O,-,O,-,O,-,O,O
56,urn:cts:latinLit:phi0978.phi001:4.1.1,56,Laconia,279,B-MISC,0.9697232246398926,B-LOC,0.9999024868011475,B-LOC,0.9999024868011475,B-GPE,B-GPE
57,urn:cts:latinLit:phi0978.phi001:4.1.1,57,",",286,O,-,O,-,O,-,O,O
58,urn:cts:latinLit:phi0978.phi001:4.1.1,58,Argolis,288,B-MISC,0.9438513517379761,B-LOC,0.9999245405197144,B-LOC,0.9999245405197144,B-GPE,B-GPE
59,urn:cts:latinLit:phi0978.phi001:4.1.1,59,",",295,O,-,O,-,O,-,O,O
60,urn:cts:latinLit:phi0978.phi001:4.1.1,60,Megaris,297,B-MISC,0.9961888194084167,B-LOC,0.9999350309371948,B-LOC,0.9999350309371948,B-GPE,B-GPE
61,urn:cts:latinLit:phi0978.phi001:4.1.1,61,",",304,O,-,O,-,O,-,O,O
62,urn:cts:latinLit:phi0978.phi001:4.1.1,62,Attica,306,B-MISC,0.8347470760345459,B-LOC,0.9999617338180542,B-LOC,0.9999617338180542,B-GPE,B-GPE
63,urn:cts:latinLit:phi0978.phi001:4.1.1,63,",",312,O,-,O,-,O,-,O,O
64,urn:cts:latinLit:phi0978.phi001:4.1.1,64,Boeotia,314,B-MISC,0.8322204351425171,B-LOC,0.999974250793457,B-LOC,0.999974250793457,B-GPE,B-GPE
65,urn:cts:latinLit:phi0978.phi001:4.1.1,65,;,321,O,-,O,-,O,-,O,O
66,urn:cts:latinLit:phi0978.phi001:4.1.1,66,and,323,O,-,O,-,O,-,O,O
67,urn:cts:latinLit:phi0978.phi001:4.1.1,67,again,327,O,-,O,-,O,-,O,O
68,urn:cts:latinLit:phi0978.phi001:4.1.1,68,",",332,O,-,O,-,O,-,O,O
69,urn:cts:latinLit:phi0978.phi001:4.1.1,69,upon,334,O,-,O,-,O,-,O,O
70,urn:cts:latinLit:phi0978.phi001:4.1.1,70,the,339,O,-,O,-,O,-,O,O
71,urn:cts:latinLit:phi0978.phi001:4.1.1,71,other,343,O,-,O,-,O,-,O,O
72,urn:cts:latinLit:phi0978.phi001:4.1.1,72,sea,349,O,-,O,-,O,-,O,O
73,urn:cts:latinLit:phi0978.phi001:4.1.1,73,",",352,O,-,O,-,O,-,O,O
74,urn:cts:latinLit:phi0978.phi001:4.1.1,74,the,354,O,-,O,-,O,-,O,O
75,urn:cts:latinLit:phi0978.phi001:4.1.1,75,same,358,O,-,O,-,O,-,O,O
76,urn:cts:latinLit:phi0978.phi001:4.1.1,76,Phocis,363,B-MISC,0.8147133588790894,B-LOC,0.9978973865509033,B-LOC,0.9978975057601929,B-GPE,B-GPE
77,urn:cts:latinLit:phi0978.phi001:4.1.1,77,and,370,O,-,O,-,O,-,O,O
78,urn:cts:latinLit:phi0978.phi001:4.1.1,78,Locris,374,B-MISC,0.9789578914642334,B-LOC,0.9959736466407776,B-LOC,0.9959737658500671,B-GPE,B-GPE
79,urn:cts:latinLit:phi0978.phi001:4.1.1,79,",",380,O,-,O,-,O,-,O,O
80,urn:cts:latinLit:phi0978.phi001:4.1.1,80,Doris,382,B-MISC,0.9682361483573914,B-LOC,0.9995686411857605,B-LOC,0.9995686411857605,B-PERSON,B-GPE
81,urn:cts:latinLit:phi0978.phi001:4.1.1,81,",",387,O,-,O,-,O,-,O,O
82,urn:cts:latinLit:phi0978.phi001:4.1.1,82,Phthiotis,389,B-MISC,0.8740805387496948,B-LOC,0.9997556805610657,B-LOC,0.9997556805610657,B-GPE,B-GPE
83,urn:cts:latinLit:phi0978.phi001:4.1.1,83,",",398,O,-,O,-,O,-,O,O
84,urn:cts:latinLit:phi0978.phi001:4.1.1,84,Thessalia,400,B-MISC,0.917414128780365,B-LOC,0.9999598264694214,B-LOC,0.9999598264694214,B-GPE,B-GPE
85,urn:cts:latinLit:phi0978.phi001:4.1.1,85,",",409,O,-,O,-,O,-,O,O
86,urn:cts:latinLit:phi0978.phi001:4.1.1,86,Magnesia,411,B-MISC,0.9153854846954346,B-LOC,0.9999629259109497,B-LOC,0.9999629259109497,B-GPE,B-GPE
87,urn:cts:latinLit:phi0978.phi001:4.1.1,87,",",419,O,-,O,-,O,-,O,O
88,urn:cts:latinLit:phi0978.phi001:4.1.1,88,Macedonia,421,B-LOC,0.9937811493873596,B-LOC,0.999988317489624,B-LOC,0.999988317489624,B-GPE,B-GPE
89,urn:cts:latinLit:phi0978.phi001:4.1.1,89,and,431,O,-,O,-,O,-,O,O
90,urn:cts:latinLit:phi0978.phi001:4.1.1,90,Thracia,435,B-MISC,0.6955474019050598,B-LOC,0.9999746084213257,B-LOC,0.9999746084213257,B-GPE,B-GPE
91,urn:cts:latinLit:phi0978.phi001:4.1.1,91,.,442,O,-,O,-,O,-,O,O
92,urn:cts:latinLit:phi0978.phi001:4.1.1,92,All,444,O,-,O,-,O,-,O,O
93,urn:cts:latinLit:phi0978.phi001:4.1.1,93,the,448,O,-,O,-,O,-,O,O
94,urn:cts:latinLit:phi0978.phi001:4.1.1,94,fabulous,452,O,-,O,-,O,-,O,O
95,urn:cts:latinLit:phi0978.phi001:4.1.1,95,lore,461,O,-,O,-,O,-,O,O
96,urn:cts:latinLit:phi0978.phi001:4.1.1,96,of,466,O,-,O,-,O,-,O,O
97,urn:cts:latinLit:phi0978.phi001:4.1.1,97,Greece,469,B-LOC,0.9996402263641357,B-LOC,0.9999760389328003,B-LOC,0.9999628067016602,B-GPE,B-GPE
98,urn:cts:latinLit:phi0978.phi001:4.1.1,98,",",475,O,-,O,-,O,-,O,O
99,urn:cts:latinLit:phi0978.phi001:4.1.1,99,as,477,O,-,O,-,O,-,O,O
100,urn:cts:latinLit:phi0978.phi001:4.1.1,100,well,480,O,-,O,-,O,-,O,O
101,urn:cts:latinLit:phi0978.phi001:4.1.1,101,as,485,O,-,O,-,O,-,O,O
102,urn:cts:latinLit:phi0978.phi001:4.1.1,102,the,488,O,-,O,-,O,-,O,O
103,urn:cts:latinLit:phi0978.phi001:4.1.1,103,effulgence,492,O,-,O,-,O,-,O,O
104,urn:cts:latinLit:phi0978.phi001:4.1.1,104,of,503,O,-,O,-,O,-,O,O
105,urn:cts:latinLit:phi0978.phi001:4.1.1,105,her,506,O,-,O,-,O,-,O,O
106,urn:cts:latinLit:phi0978.phi001:4.1.1,106,literature,510,O,-,O,-,O,-,O,O
107,urn:cts:latinLit:phi0978.phi001:4.1.1,107,",",520,O,-,O,-,O,-,O,O
108,urn:cts:latinLit:phi0978.phi001:4.1.1,108,first,522,O,-,O,-,O,-,B-ORDINAL,O
109,urn:cts:latinLit:phi0978.phi001:4.1.1,109,shone,528,O,-,O,-,O,-,O,O
110,urn:cts:latinLit:phi0978.phi001:4.1.1,110,forth,534,O,-,O,-,O,-,O,O
111,urn:cts:latinLit:phi0978.phi001:4.1.1,111,upon,540,O,-,O,-,O,-,O,O
112,urn:cts:latinLit:phi0978.phi001:4.1.1,112,the,545,O,-,O,-,O,-,O,O
113,urn:cts:latinLit:phi0978.phi001:4.1.1,113,banks,549,O,-,O,-,O,-,O,O
114,urn:cts:latinLit:phi0978.phi001:4.1.1,114,of,555,O,-,O,-,O,-,O,O
115,urn:cts:latinLit:phi0978.phi001:4.1.1,115,this,558,O,-,O,-,O,-,O,O
116,urn:cts:latinLit:phi0978.phi001:4.1.1,116,Gulf,563,B-LOC,0.997848629951477,O,-,B-LOC,0.9991594552993774,B-LOC,B-LOC
117,urn:cts:latinLit:phi0978.phi001:4.1.1,117,.,567,O,-,O,-,O,-,O,O
118,urn:cts:latinLit:phi0978.phi001:4.1.1,118,We,569,O,-,O,-,O,-,O,O
119,urn:cts:latinLit:phi0978.phi001:4.1.1,119,shall,572,O,-,O,-,O,-,O,O
120,urn:cts:latinLit:phi0978.phi001:4.1.1,120,therefore,578,O,-,O,-,O,-,O,O
121,urn:cts:latinLit:phi0978.phi001:4.1.1,121,dwell,588,O,-,O,-,O,-,O,O
122,urn:cts:latinLit:phi0978.phi001:4.1.1,122,a,594,O,-,O,-,O,-,O,O
123,urn:cts:latinLit:phi0978.phi001:4.1.1,123,little,596,O,-,O,-,O,-,O,O
124,urn:cts:latinLit:phi0978.phi001:4.1.1,124,the,603,O,-,O,-,O,-,O,O
125,urn:cts:latinLit:phi0978.phi001:4.1.1,125,longer,607,O,-,O,-,O,-,O,O
126,urn:cts:latinLit:phi0978.phi001:4.1.1,126,upon,614,O,-,O,-,O,-,O,O
127,urn:cts:latinLit:phi0978.phi001:4.1.1,127,it,619,O,-,O,-,O,-,O,O
128,urn:cts:latinLit:phi0978.phi001:4.1.1,128,.,621,O,-,O,-,O,-,O,O
129,urn:cts:latinLit:phi0978.phi001:4.1.2,0,§,0,O,-,O,-,O,-,B-PERSON,O
130,urn:cts:latinLit:phi0978.phi001:4.1.2,1,4.1.2,2,O,-,O,-,O,-,I-PERSON,B-CARDINAL
131,urn:cts:latinLit:phi0978.phi001:4.1.2,2,Epirus,9,B-LOC,0.8068370223045349,B-LOC,0.9999581575393677,B-LOC,0.9999737739562988,I-PERSON,B-GPE
132,urn:cts:latinLit:phi0978.phi001:4.1.2,3,",",15,O,-,O,-,O,-,O,O
133,urn:cts:latinLit:phi0978.phi001:4.1.2,4,generally,17,O,-,O,-,O,-,O,O
134,urn:cts:latinLit:phi0978.phi001:4.1.2,5,so,27,O,-,O,-,O,-,O,O
135,urn:cts:latinLit:phi0978.phi001:4.1.2,6,called,30,O,-,O,-,O,-,O,O
136,urn:cts:latinLit:phi0978.phi001:4.1.2,7,",",36,O,-,O,-,O,-,O,O
137,urn:cts:latinLit:phi0978.phi001:4.1.2,8,begins,38,O,-,O,-,O,-,O,O
138,urn:cts:latinLit:phi0978.phi001:4.1.2,9,at,45,O,-,O,-,O,-,O,O
139,urn:cts:latinLit:phi0978.phi001:4.1.2,10,the,48,O,-,O,-,O,-,O,O
140,urn:cts:latinLit:phi0978.phi001:4.1.2,11,mountains,52,O,-,O,-,O,-,O,O
141,urn:cts:latinLit:phi0978.phi001:4.1.2,12,of,62,O,-,O,-,O,-,O,O
142,urn:cts:latinLit:phi0978.phi001:4.1.2,13,Acroceraunia,65,B-LOC,0.9966726303100586,B-LOC,0.9999778270721436,B-LOC,0.9999825954437256,B-GPE,B-LOC
143,urn:cts:latinLit:phi0978.phi001:4.1.2,14,.,77,O,-,O,-,O,-,O,O
144,urn:cts:latinLit:phi0978.phi001:4.1.2,15,The,79,O,-,O,-,O,-,O,O
145,urn:cts:latinLit:phi0978.phi001:4.1.2,16,first,83,O,-,O,-,O,-,B-ORDINAL,O
146,urn:cts:latinLit:phi0978.phi001:4.1.2,17,people,89,O,-,O,-,O,-,O,O
147,urn:cts:latinLit:phi0978.phi001:4.1.2,18,that,96,O,-,O,-,O,-,O,O
148,urn:cts:latinLit:phi0978.phi001:4.1.2,19,we,101,O,-,O,-,O,-,O,O
149,urn:cts:latinLit:phi0978.phi001:4.1.2,20,meet,104,O,-,O,-,O,-,O,O
150,urn:cts:latinLit:phi0978.phi001:4.1.2,21,are,109,O,-,O,-,O,-,O,O
151,urn:cts:latinLit:phi0978.phi001:4.1.2,22,the,113,O,-,O,-,O,-,O,O
152,urn:cts:latinLit:phi0978.phi001:4.1.2,23,Chaones,117,B-MISC,0.8914539217948914,B-MISC,0.9999862909317017,B-MISC,0.9999855756759644,B-ORG,B-NORP
153,urn:cts:latinLit:phi0978.phi001:4.1.2,24,",",124,O,-,O,-,O,-,O,O
154,urn:cts:latinLit:phi0978.phi001:4.1.2,25,from,126,O,-,O,-,O,-,O,O
155,urn:cts:latinLit:phi0978.phi001:4.1.2,26,whom,131,O,-,O,-,O,-,O,O
156,urn:cts:latinLit:phi0978.phi001:4.1.2,27,Chaonia,136,B-LOC,0.5481219291687012,B-LOC,0.9999794960021973,B-LOC,0.9999803304672241,B-PERSON,B-GPE
157,urn:cts:latinLit:phi0978.phi001:4.1.2,28,receives,144,O,-,O,-,O,-,O,O
158,urn:cts:latinLit:phi0978.phi001:4.1.2,29,its,153,O,-,O,-,O,-,O,O
159,urn:cts:latinLit:phi0978.phi001:4.1.2,30,name,157,O,-,O,-,O,-,O,O
160,urn:cts:latinLit:phi0978.phi001:4.1.2,31,",",161,O,-,O,-,O,-,O,O
161,urn:cts:latinLit:phi0978.phi001:4.1.2,32,then,163,O,-,O,-,O,-,O,O
162,urn:cts:latinLit:phi0978.phi001:4.1.2,33,the,168,O,-,O,-,O,-,O,O
163,urn:cts:latinLit:phi0978.phi001:4.1.2,34,Thesproti,172,B-MISC,0.9738898277282715,B-MISC,0.9999842643737793,B-MISC,0.999982476234436,B-PERSON,B-NORP
164,urn:cts:latinLit:phi0978.phi001:4.1.2,35,",",181,O,-,O,-,O,-,O,O
165,urn:cts:latinLit:phi0978.phi001:4.1.2,36,and,183,O,-,O,-,O,-,O,O
166,urn:cts:latinLit:phi0978.phi001:4.1.2,37,then,187,O,-,O,-,O,-,O,O
167,urn:cts:latinLit:phi0978.phi001:4.1.2,38,the,192,O,-,O,-,O,-,O,O
168,urn:cts:latinLit:phi0978.phi001:4.1.2,39,Antigonenses,196,B-MISC,0.9947794675827026,B-MISC,0.9999829530715942,B-MISC,0.9999822378158569,B-PERSON,B-NORP
169,urn:cts:latinLit:phi0978.phi001:4.1.2,40,.,208,O,-,O,-,O,-,O,O
170,urn:cts:latinLit:phi0978.phi001:4.1.2,41,We,210,O,-,O,-,O,-,O,O
171,urn:cts:latinLit:phi0978.phi001:4.1.2,42,then,213,O,-,O,-,O,-,O,O
172,urn:cts:latinLit:phi0978.phi001:4.1.2,43,come,218,O,-,O,-,O,-,O,O
173,urn:cts:latinLit:phi0978.phi001:4.1.2,44,to,223,O,-,O,-,O,-,O,O
174,urn:cts:latinLit:phi0978.phi001:4.1.2,45,the,226,O,-,O,-,O,-,O,O
175,urn:cts:latinLit:phi0978.phi001:4.1.2,46,place,230,O,-,O,-,O,-,O,O
176,urn:cts:latinLit:phi0978.phi001:4.1.2,47,where,236,O,-,O,-,O,-,O,O
177,urn:cts:latinLit:phi0978.phi001:4.1.2,48,Aornos,242,B-PER,0.5864120721817017,B-PER,0.7487255334854126,B-PER,0.748719334602356,B-PERSON,B-PERSON
178,urn:cts:latinLit:phi0978.phi001:4.1.2,49,stood,249,O,-,O,-,O,-,O,O
179,urn:cts:latinLit:phi0978.phi001:4.1.2,50,",",254,O,-,O,-,O,-,O,O
180,urn:cts:latinLit:phi0978.phi001:4.1.2,51,with,256,O,-,O,-,O,-,O,O
181,urn:cts:latinLit:phi0978.phi001:4.1.2,52,its,261,O,-,O,-,O,-,O,O
182,urn:cts:latinLit:phi0978.phi001:4.1.2,53,exhalations,265,O,-,O,-,O,-,O,O
183,urn:cts:latinLit:phi0978.phi001:4.1.2,54,so,277,O,-,O,-,O,-,O,O
184,urn:cts:latinLit:phi0978.phi001:4.1.2,55,deadly,280,O,-,O,-,O,-,O,O
185,urn:cts:latinLit:phi0978.phi001:4.1.2,56,to,287,O,-,O,-,O,-,O,O
186,urn:cts:latinLit:phi0978.phi001:4.1.2,57,the,290,O,-,O,-,O,-,O,O
187,urn:cts:latinLit:phi0978.phi001:4.1.2,58,feathered,294,O,-,O,-,O,-,O,O
188,urn:cts:latinLit:phi0978.phi001:4.1.2,59,race,304,O,-,O,-,O,-,O,O
189,urn:cts:latinLit:phi0978.phi001:4.1.2,60,",",308,O,-,O,-,O,-,O,O
190,urn:cts:latinLit:phi0978.phi001:4.1.2,61,the,310,O,-,O,-,O,-,O,O
191,urn:cts:latinLit:phi0978.phi001:4.1.2,62,Cestrinis,314,B-MISC,0.9779428839683533,B-MISC,0.9999351501464844,B-MISC,0.9999351501464844,B-PRODUCT,B-NORP
192,urn:cts:latinLit:phi0978.phi001:4.1.2,63,",",323,O,-,O,-,O,-,O,O
193,urn:cts:latinLit:phi0978.phi001:4.1.2,64,the,325,O,-,O,-,O,-,O,O
194,urn:cts:latinLit:phi0978.phi001:4.1.2,65,Perrhaebi,329,B-MISC,0.9582797884941101,B-MISC,0.999945878982544,B-MISC,0.999945878982544,B-PERSON,B-NORP
195,urn:cts:latinLit:phi0978.phi001:4.1.2,66,",",338,O,-,O,-,O,-,O,O
196,urn:cts:latinLit:phi0978.phi001:4.1.2,67,in,340,O,-,O,-,O,-,O,O
197,urn:cts:latinLit:phi0978.phi001:4.1.2,68,whose,343,O,-,O,-,O,-,O,O
198,urn:cts:latinLit:phi0978.phi001:4.1.2,69,country,349,O,-,O,-,O,-,O,O
199,urn:cts:latinLit:phi0978.phi001:4.1.2,70,Mount,357,B-LOC,0.9270880818367004,B-LOC,0.9999553561210632,B-LOC,0.9999553561210632,B-NORP,B-LOC
200,urn:cts:latinLit:phi0978.phi001:4.1.2,71,Pindus,363,I-LOC,0.9270880818367004,I-LOC,0.9999553561210632,I-LOC,0.9999553561210632,I-NORP,I-LOC
201,urn:cts:latinLit:phi0978.phi001:4.1.2,72,is,370,O,-,O,-,O,-,O,O
202,urn:cts:latinLit:phi0978.phi001:4.1.2,73,situate,373,O,-,O,-,O,-,O,O
203,urn:cts:latinLit:phi0978.phi001:4.1.2,74,",",380,O,-,O,-,O,-,O,O
204,urn:cts:latinLit:phi0978.phi001:4.1.2,75,the,382,O,-,O,-,O,-,O,O
205,urn:cts:latinLit:phi0978.phi001:4.1.2,76,Cassiopaei,386,B-MISC,0.9210910201072693,B-MISC,0.9998700618743896,B-MISC,0.9998700618743896,B-PRODUCT,B-NORP
206,urn:cts:latinLit:phi0978.phi001:4.1.2,77,",",396,O,-,O,-,O,-,O,O
207,urn:cts:latinLit:phi0978.phi001:4.1.2,78,the,398,O,-,O,-,O,-,O,O
208,urn:cts:latinLit:phi0978.phi001:4.1.2,79,Dryopes,402,B-MISC,0.9177334904670715,B-MISC,0.9999121427536011,B-MISC,0.9999121427536011,B-GPE,B-NORP
209,urn:cts:latinLit:phi0978.phi001:4.1.2,80,",",409,O,-,O,-,O,-,O,O
210,urn:cts:latinLit:phi0978.phi001:4.1.2,81,the,411,O,-,O,-,O,-,O,O
211,urn:cts:latinLit:phi0978.phi001:4.1.2,82,Sellae,415,B-MISC,0.8621249794960022,B-MISC,0.9998779296875,B-MISC,0.9998779296875,O,B-NORP
212,urn:cts:latinLit:phi0978.phi001:4.1.2,83,",",421,O,-,O,-,O,-,O,O
213,urn:cts:latinLit:phi0978.phi001:4.1.2,84,the,423,O,-,O,-,O,-,O,O
214,urn:cts:latinLit:phi0978.phi001:4.1.2,85,Hellopes,427,B-MISC,0.9045764803886414,B-MISC,0.9998983144760132,B-MISC,0.9998983144760132,B-GPE,B-NORP
215,urn:cts:latinLit:phi0978.phi001:4.1.2,86,",",435,O,-,O,-,O,-,O,O
216,urn:cts:latinLit:phi0978.phi001:4.1.2,87,the,437,O,-,O,-,O,-,O,O
217,urn:cts:latinLit:phi0978.phi001:4.1.2,88,Molossi,441,B-MISC,0.9623256325721741,B-MISC,0.9998509883880615,B-MISC,0.9998509883880615,B-PERSON,B-NORP
218,urn:cts:latinLit:phi0978.phi001:4.1.2,89,",",448,O,-,O,-,O,-,O,O
219,urn:cts:latinLit:phi0978.phi001:4.1.2,90,in,450,O,-,O,-,O,-,O,O
220,urn:cts:latinLit:phi0978.phi001:4.1.2,91,whose,453,O,-,O,-,O,-,O,O
221,urn:cts:latinLit:phi0978.phi001:4.1.2,92,territory,459,O,-,O,-,O,-,O,O
222,urn:cts:latinLit:phi0978.phi001:4.1.2,93,is,469,O,-,O,-,O,-,O,O
223,urn:cts:latinLit:phi0978.phi001:4.1.2,94,the,472,O,-,O,-,O,-,O,O
224,urn:cts:latinLit:phi0978.phi001:4.1.2,95,temple,476,O,-,O,-,O,-,O,O
225,urn:cts:latinLit:phi0978.phi001:4.1.2,96,of,483,O,-,O,-,O,-,O,O
226,urn:cts:latinLit:phi0978.phi001:4.1.2,97,the,486,O,-,O,-,O,-,B-LOC,O
227,urn:cts:latinLit:phi0978.phi001:4.1.2,98,Dodonaean,490,B-LOC,0.7957488000392914,B-MISC,0.9999749660491943,B-MISC,0.9999749660491943,I-LOC,B-NORP
228,urn:cts:latinLit:phi0978.phi001:4.1.2,99,Jupiter,500,I-LOC,0.7957488000392914,B-PER,0.9998960494995117,B-PER,0.9998960494995117,I-LOC,B-LOC
229,urn:cts:latinLit:phi0978.phi001:4.1.2,100,",",507,O,-,O,-,O,-,O,O
230,urn:cts:latinLit:phi0978.phi001:4.1.2,101,so,509,O,-,O,-,O,-,O,O
231,urn:cts:latinLit:phi0978.phi001:4.1.2,102,famous,512,O,-,O,-,O,-,O,O
232,urn:cts:latinLit:phi0978.phi001:4.1.2,103,for,519,O,-,O,-,O,-,O,O
